施設名,住所,電話番号(代表),geocodes
前原児童ホーム,〒274-0825千葉県船橋市前原西6-1-12,047-475-5454,"{'lat': 35.7027062, 'lng': 140.0254386}"
高根台児童ホーム,〒274-0065千葉県船橋市高根台2-2-2,047-466-3638,"{'lat': 35.7330412, 'lng': 140.0322415}"
習志野台児童ホーム,〒274-0063千葉県船橋市習志野台3-4-1,047-464-0001,"{'lat': 35.7218966, 'lng': 140.04875}"
金杉台児童ホーム,〒273-0852千葉県船橋市金杉台2-2-4,047-447-7837,"{'lat': 35.7359058, 'lng': 140.0124781}"
若松児童ホーム,〒273-0013千葉県船橋市若松2-3-6,047-433-7991,"{'lat': 35.679263, 'lng': 139.9968027}"
西船児童ホーム,〒273-0033千葉県船橋市本郷町554,047-333-2007,"{'lat': 35.7082612, 'lng': 139.9507529}"
小室児童ホーム,〒270-1471千葉県船橋市小室町3308,047-457-1000,"{'lat': 35.7880718, 'lng': 140.0742943}"
三山児童ホーム,〒274-0072千葉県船橋市三山2-42-3,047-478-6800,"{'lat': 35.6963776, 'lng': 140.0493921}"
八木が谷児童ホーム,〒274-0804千葉県船橋市みやぎ台1-7-1,047-448-4400,"{'lat': 35.7563729, 'lng': 140.0324672}"
松が丘児童ホーム,〒274-0064千葉県船橋市松が丘1-52-22,047-463-5087,"{'lat': 35.7360034, 'lng': 140.0445832}"
飯山満児童ホーム,〒274-0822千葉県船橋市飯山満町2-488-8,047-468-0411,"{'lat': 35.7078999, 'lng': 140.0198409}"
夏見児童ホーム,〒273-0865千葉県船橋市夏見4-39-15,047-423-5999,"{'lat': 35.7167573, 'lng': 139.9903093}"
塚田児童ホーム,〒273-0042千葉県船橋市前貝塚町601-1,047-439-9299,"{'lat': 35.7234892, 'lng': 139.9798471}"
宮本児童ホーム,〒273-0003千葉県船橋市宮本6-18-1,047-424-9842,"{'lat': 35.697704, 'lng': 139.9950342}"
三咲児童ホーム,〒274-0812千葉県船橋市三咲3-5-10,047-448-2397,"{'lat': 35.75250680000001, 'lng': 140.0343764}"
新高根児童ホーム,〒274-0814千葉県船橋市新高根1-12-9,047-469-3940,"{'lat': 35.7239439, 'lng': 140.021716}"
薬円台児童ホーム,〒274-0077千葉県船橋市薬円台5-18-1,047-469-4884,"{'lat': 35.7102158, 'lng': 140.0397678}"
海神児童ホーム,〒273-0022千葉県船橋市海神町2-264-5,047-432-4661,"{'lat': 35.70111199999999, 'lng': 139.9750017}"
法典児童ホーム,〒273-0047千葉県船橋市藤原3-2-15,047-429-0813,"{'lat': 35.7348728, 'lng': 139.9754187}"
本中山児童ホーム,〒273-0035千葉県船橋市本中山1-6-6,047-333-7701,"{'lat': 35.715553, 'lng': 139.9472182}"
坪井児童ホーム,〒274-0062千葉県船橋市坪井町755-4,047-468-1505,"{'lat': 35.73261129999999, 'lng': 140.0582971}"
